dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
2016-03-26 19:54:18,Mazda_3_1.6_Sport,privat,Angebot,2000,control,limousine,2004,manuell,105,3_reihe,150000,12,benzin,mazda,nein,2016-03-26 00:00:00,0,96224,2016-04-06 10:45:34
2016-04-07 10:06:22,Volkswagen_Passat_Variant_2.0_TDI_Comfortline,privat,Angebot,2799,control,kombi,2005,manuell,140,passat,150000,12,diesel,volkswagen,ja,2016-04-07 00:00:00,0,57290,2016-04-07 10:25:17
2016-03-15 22:49:09,VW_Passat_Facelift_35i__"7Sitzer",privat,Angebot,999,control,kombi,1995,manuell,115,passat,150000,11,benzin,volkswagen,,2016-03-15 00:00:00,0,37269,2016-04-01 13:16:16
2016-03-21 21:37:40,VW_PASSAT_1.9_TDI_131_PS_LEDER,privat,Angebot,2500,control,kombi,2004,manuell,131,passat,150000,2,,volkswagen,nein,2016-03-21 00:00:00,0,90762,2016-03-23 02:50:54
2016-03-21 12:57:01,Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,privat,Angebot,17999,control,suv,2011,manuell,190,navara,70000,3,diesel,nissan,nein,2016-03-21 00:00:00,0,04177,2016-04-06 07:45:42
2016-03-11 21:39:15,KA_Lufthansa_Edition_450�_VB,privat,Angebot,450,test,kleinwagen,1910,,0,ka,5000,0,benzin,ford,,2016-03-11 00:00:00,0,24148,2016-03-19 08:46:47
2016-04-01 12:46:46,Polo_6n_1_4,privat,Angebot,300,test,,2016,,60,polo,150000,0,benzin,volkswagen,,2016-04-01 00:00:00,0,38871,2016-04-01 12:46:46
2016-03-20 10:25:19,Renault_Twingo_1.2_16V_Aut.,privat,Angebot,1750,control,kleinwagen,2004,automatik,75,twingo,150000,2,benzin,renault,nein,2016-03-20 00:00:00,0,65599,2016-04-06 13:16:07
2016-03-23 15:48:05,Ford_C_MAX_2.0_TDCi_DPF_Titanium,privat,Angebot,7550,test,bus,2007,manuell,136,c_max,150000,6,diesel,ford,nein,2016-03-23 00:00:00,0,88361,2016-04-05 18:45:11
2016-04-01 22:55:47,Mercedes_Benz_A_160_Classic_Klima,privat,Angebot,1850,test,bus,2004,manuell,102,a_klasse,150000,1,benzin,mercedes_benz,nein,2016-04-01 00:00:00,0,49565,2016-04-05 22:46:05
2016-04-01 19:56:48,Volkswagen_Scirocco_1.4_TSI_Sport,privat,Angebot,10400,control,coupe,2009,manuell,160,scirocco,100000,4,benzin,volkswagen,nein,2016-04-01 00:00:00,0,75365,2016-04-05 16:45:49
2016-03-27 11:38:00,BMW_530i_T�V_7/17_Scheckheftgepflegt_sehr_guter_Zustand,privat,Angebot,3699,test,limousine,2002,automatik,231,5er,150000,7,benzin,bmw,nein,2016-03-27 00:00:00,0,68309,2016-04-07 06:44:26
2016-03-23 14:52:51,Opel_Meriva_1.Hand_T�V_3.2018,privat,Angebot,2900,test,,2018,manuell,90,meriva,150000,5,benzin,opel,nein,2016-03-23 00:00:00,0,49716,2016-03-31 01:16:33
2016-03-12 19:43:07,Stadtflitzer,privat,Angebot,450,test,kleinwagen,1997,manuell,50,arosa,150000,5,benzin,seat,nein,2016-03-12 00:00:00,0,09526,2016-03-21 01:46:11
2016-03-13 20:40:49,MERCEDES_200E__T�V_04/2016,privat,Angebot,500,test,limousine,1990,manuell,118,andere,150000,10,benzin,mercedes_benz,ja,2016-03-13 00:00:00,0,35390,2016-03-13 20:40:49
2016-03-18 21:44:09,BMW_530d_touring_Vollausstattung_NAVI,privat,Angebot,2500,control,kombi,2002,automatik,193,5er,150000,9,diesel,bmw,ja,2016-03-18 00:00:00,0,73765,2016-03-18 21:44:09
2016-03-10 19:38:18,Citroen_C4_Grand_Picasso.,privat,Angebot,5555,control,,2017,manuell,125,c4,125000,4,,citroen,nein,2016-03-10 00:00:00,0,31139,2016-03-16 09:16:46
2016-03-07 12:51:23,Honda_Civic_1.4_i_VTEC_Comfort,privat,Angebot,6900,test,limousine,2008,manuell,99,civic,60000,11,benzin,honda,nein,2016-03-07 00:00:00,0,12621,2016-03-26 09:44:53
2016-03-09 11:56:38,Volkswagen_T3_andere,privat,Angebot,1990,test,bus,1981,manuell,50,transporter,5000,1,benzin,volkswagen,nein,2016-03-09 00:00:00,0,87471,2016-03-10 07:44:33
2016-03-08 19:55:19,Fiat_Punto_1.2,privat,Angebot,690,test,kleinwagen,2003,manuell,60,punto,150000,3,benzin,fiat,nein,2016-03-08 00:00:00,0,86199,2016-03-09 11:45:28
2016-04-03 15:48:11,Mercedes_Benz_E_250_D_Original_Zustand_!!,privat,Angebot,3300,test,limousine,1995,automatik,113,e_klasse,150000,1,diesel,mercedes_benz,nein,2016-04-03 00:00:00,0,53879,2016-04-05 15:16:05
2016-03-29 16:57:02,Renault_clio_1.2_T�V_07/2016,privat,Angebot,899,control,,2016,manuell,60,clio,150000,6,benzin,renault,,2016-03-29 00:00:00,0,37075,2016-03-29 17:43:07
2016-03-15 20:59:01,Golf_3_....._1.4,privat,Angebot,245,test,limousine,1994,,0,golf,150000,2,benzin,volkswagen,nein,2016-03-15 00:00:00,0,44145,2016-03-17 18:17:43
2016-03-25 21:48:47,BMW_325i_Aut.,privat,Angebot,18000,test,limousine,2007,automatik,218,3er,20000,5,benzin,bmw,nein,2016-03-25 00:00:00,0,39179,2016-04-07 04:45:21
2016-03-17 18:55:12,Mercedes_Benz_E_200_CDI_Automatik_Classic,privat,Angebot,3500,control,limousine,2004,automatik,122,e_klasse,150000,11,diesel,mercedes_benz,nein,2016-03-17 00:00:00,0,67071,2016-03-30 15:46:10
2016-03-08 07:54:46,VW_Golf_3,privat,Angebot,350,test,,2016,manuell,75,golf,150000,4,benzin,volkswagen,nein,2016-03-08 00:00:00,0,19386,2016-03-08 09:44:50
2016-03-11 11:50:37,Opel_Kadett_E_CC,privat,Angebot,1600,control,andere,1991,manuell,75,kadett,70000,0,,opel,,2016-03-11 00:00:00,0,02943,2016-04-07 03:46:09
2016-03-28 17:50:15,Renault_Kangoo_1.9_Diesel,privat,Angebot,1500,test,,2016,,0,kangoo,150000,1,diesel,renault,nein,2016-03-28 00:00:00,0,46483,2016-03-30 09:18:02
2016-04-01 17:45:07,Abschleppwagen_Vw_LT_195.000_gruene_Plakette_T�V_8/2017,privat,Angebot,11900,test,andere,2002,manuell,129,andere,150000,11,diesel,volkswagen,nein,2016-04-01 00:00:00,0,10551,2016-04-05 12:47:30
2016-03-25 15:50:30,Mercedes_Camper_D407,privat,Angebot,1500,test,bus,1984,manuell,70,andere,150000,8,diesel,mercedes_benz,nein,2016-03-25 00:00:00,0,22767,2016-03-27 03:17:02
2016-03-26 22:06:17,Suche_Opel_corsa_a_zu_verschenken,privat,Angebot,0,test,,1990,,0,corsa,150000,1,benzin,opel,,2016-03-26 00:00:00,0,56412,2016-03-27 17:43:34
2016-03-30 20:38:20,E_500_Avantgarde_AMG_Ausstattung,privat,Angebot,7500,control,limousine,2002,automatik,306,e_klasse,150000,4,,mercedes_benz,,2016-03-30 00:00:00,0,33649,2016-04-03 11:44:49
2016-03-24 00:52:09,BMW_E60_530XD,privat,Angebot,12500,test,limousine,2006,automatik,231,5er,150000,11,diesel,bmw,,2016-03-23 00:00:00,0,46119,2016-04-04 16:18:19
2016-03-13 15:47:08,Mini_One_Pepper_Scheckheftgepflegt,privat,Angebot,6990,test,limousine,2007,manuell,95,one,100000,8,benzin,mini,nein,2016-03-13 00:00:00,0,59174,2016-03-21 17:17:50
2016-03-17 12:44:43,Smart_For_two_Klima_regensensor_uSw,privat,Angebot,3900,test,kleinwagen,2008,automatik,61,fortwo,80000,6,benzin,smart,,2016-03-17 00:00:00,0,21073,2016-03-19 11:46:17
2016-03-29 18:57:46,Renault_Clio_1.4,privat,Angebot,590,control,kleinwagen,1999,manuell,75,clio,125000,8,benzin,renault,nein,2016-03-29 00:00:00,0,84180,2016-03-29 18:57:46
2016-03-15 18:59:02,BMW_120d_DPF,privat,Angebot,7999,control,limousine,2007,manuell,177,1er,150000,8,diesel,bmw,nein,2016-03-15 00:00:00,0,53604,2016-03-16 16:47:48
2016-04-04 00:38:22,BMW_528i_touring,privat,Angebot,2100,test,kombi,1998,automatik,193,5er,150000,2,benzin,bmw,nein,2016-04-03 00:00:00,0,86157,2016-04-06 08:16:21
2016-03-25 14:40:12,VW_Golf_6___Klima___Alu___Scheckheft_!!!,privat,Angebot,7750,control,,2017,manuell,80,golf,100000,1,benzin,volkswagen,,2016-03-25 00:00:00,0,48499,2016-03-31 21:47:44
2016-04-04 14:06:22,Mercedes_Benz_B180_Automatik,privat,Angebot,13500,test,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz,nein,2016-04-04 00:00:00,0,35576,2016-04-05 12:09:29
2016-03-30 08:50:37,BMW_120i_Cabrio_mit_M_Paket,privat,Angebot,14800,control,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw,,2016-03-30 00:00:00,0,48691,2016-04-07 00:17:23
2016-03-07 18:57:08,Fiat_punto_5_tuerer__6_gang,privat,Angebot,2000,control,,2017,manuell,90,punto,150000,11,diesel,fiat,ja,2016-03-07 00:00:00,0,66115,2016-03-07 18:57:08
2016-04-04 10:57:36,Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,privat,Angebot,1400,control,,2016,manuell,55,andere,5000,1,,hyundai,,2016-04-04 00:00:00,0,34454,2016-04-06 12:45:43
2016-03-29 18:53:48,Bmw_318_d_Sport_Edition_Facelift,privat,Angebot,7999,control,limousine,2008,automatik,143,3er,150000,12,diesel,bmw,,2016-03-29 00:00:00,0,71083,2016-04-06 04:45:54
2016-03-17 07:56:40,Opel_signum_1.9_cdti,privat,Angebot,4700,control,kombi,2005,manuell,0,signum,150000,0,,opel,nein,2016-03-17 00:00:00,0,88433,2016-04-04 04:17:32
2016-03-26 10:39:35,auto_opel_astra,privat,Angebot,550,test,kombi,1999,manuell,0,astra,150000,8,diesel,opel,ja,2016-03-26 00:00:00,0,56759,2016-04-01 23:17:27
2016-03-21 01:59:07,BMW_435i_Sport_coupe,privat,Angebot,39600,test,coupe,2014,automatik,306,andere,30000,7,benzin,bmw,nein,2016-03-21 00:00:00,0,10435,2016-04-03 23:16:31
2016-03-22 17:56:12,Smart_Cabrio_T�V_bis_07/17,privat,Angebot,3000,control,cabrio,2006,automatik,61,fortwo,80000,1,benzin,smart,nein,2016-03-22 00:00:00,0,12055,2016-03-22 17:56:12
2016-03-10 20:53:19,Seat_inca_1.9SDI___LKW_Zulassung___T�V_NEU,privat,Angebot,2399,test,,2018,manuell,64,andere,125000,3,,seat,nein,2016-03-10 00:00:00,0,33397,2016-03-25 10:17:37
2016-03-31 08:57:44,Volkswagen_Golf_1.6_Comfortline,privat,Angebot,1000,control,limousine,1998,manuell,101,golf,150000,10,benzin,volkswagen,nein,2016-03-31 00:00:00,0,39624,2016-04-06 03:15:47
2016-03-29 15:48:15,TAUSCHE_BMW_E38_740i_g._SUV_/_GEL�NDEWAGEN_LESEN_LESEN,privat,Angebot,1,control,suv,1994,manuell,286,,150000,11,,sonstige_autos,,2016-03-29 00:00:00,0,53721,2016-04-06 01:44:38
2016-03-26 07:54:29,Bmw_316i_compact.____200�,privat,Angebot,200,test,coupe,1995,manuell,102,3er,150000,4,benzin,bmw,,2016-03-26 00:00:00,0,23560,2016-04-01 20:46:51
2016-03-25 19:44:06,Audi_A8_3.0_TDI_quattro,privat,Angebot,7499,test,limousine,2004,automatik,232,a8,150000,3,diesel,audi,ja,2016-03-25 00:00:00,0,71711,2016-04-07 01:44:24
2016-03-30 12:49:54,Skoda_Fabia_1.2,privat,Angebot,5500,control,kleinwagen,2010,manuell,60,fabia,70000,4,benzin,skoda,nein,2016-03-30 00:00:00,0,57076,2016-04-07 03:44:51
2016-03-08 12:54:47,Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline,privat,Angebot,7000,test,limousine,2006,automatik,105,jetta,100000,10,diesel,volkswagen,nein,2016-03-08 00:00:00,0,06242,2016-03-11 17:16:18
2016-03-07 22:36:54,BMW_325_i_Cabrio_wenig_Kilometer,privat,Angebot,14999,test,cabrio,2007,manuell,218,3er,50000,8,benzin,bmw,nein,2016-03-07 00:00:00,0,01129,2016-03-15 10:17:59
2016-03-28 17:41:27,Opel_Astra_1.4_mit_vielen_Extras!!!!,privat,Angebot,10900,test,,2017,manuell,101,astra,50000,3,,opel,nein,2016-03-28 00:00:00,0,63607,2016-04-06 23:15:52
2016-03-15 14:50:24,Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!,privat,Angebot,9700,test,coupe,2008,manuell,160,scirocco,150000,8,benzin,volkswagen,nein,2016-03-15 00:00:00,0,55218,2016-04-06 04:17:09
2016-03-21 12:47:55,Honda_HRV_reserviert!!!,privat,Angebot,2100,control,suv,2000,manuell,105,andere,150000,8,benzin,honda,nein,2016-02-09 00:00:00,0,85244,2016-03-31 16:46:09
2016-03-15 09:51:05,Mercedes_Benz_190,privat,Angebot,1280,control,limousine,1992,automatik,109,andere,150000,9,benzin,mercedes_benz,,2016-03-15 00:00:00,0,86163,2016-04-05 19:18:21
2016-04-01 11:56:40,Opel_astra_g_coupe_1.8_liter_benziner,privat,Angebot,1200,test,coupe,2001,,0,astra,150000,0,,opel,,2016-04-01 00:00:00,0,47249,2016-04-07 08:46:07
2016-03-08 01:36:42,Volkswagen_Polo,privat,Angebot,800,control,kleinwagen,1993,manuell,0,polo,150000,3,benzin,volkswagen,nein,2016-03-08 00:00:00,0,08258,2016-04-05 23:46:00
2016-03-07 08:55:18,BMW_520i_E39,privat,Angebot,2300,control,,1997,manuell,150,5er,150000,3,,bmw,nein,2016-03-07 00:00:00,0,79341,2016-03-22 05:15:22
2016-03-05 16:45:05,Ford_Fiesta,privat,Angebot,750,control,kleinwagen,2002,manuell,50,fiesta,150000,4,benzin,ford,nein,2016-03-05 00:00:00,0,70327,2016-03-11 06:16:00
2016-03-22 17:45:41,Mercedes_Benz_C_180_T_Kompressor_Avantgarde,privat,Angebot,7999,control,kombi,2008,manuell,156,c_klasse,150000,10,benzin,mercedes_benz,nein,2016-03-22 00:00:00,0,83355,2016-03-25 09:47:43
2016-03-31 18:46:36,VW_Golf_V_Plus_TDI_1_8,privat,Angebot,6600,control,limousine,2006,manuell,105,golf,150000,10,diesel,volkswagen,nein,2016-03-31 00:00:00,0,41812,2016-03-31 18:46:36
2016-03-17 09:48:12,Nissan_Micra_1.2_CVT,privat,Angebot,7999,test,kleinwagen,2013,manuell,80,micra,40000,4,benzin,nissan,nein,2016-03-17 00:00:00,0,46145,2016-04-06 07:44:23
2016-03-11 14:50:52,MB_Vito_Transporter_108_CDI,privat,Angebot,1400,control,andere,2003,manuell,82,vito,150000,8,diesel,mercedes_benz,nein,2016-03-11 00:00:00,0,04668,2016-03-11 14:50:52
2016-03-31 22:48:06,Golf_4_TDi_1_9.__3_tuerig,privat,Angebot,800,test,,2000,manuell,90,golf,150000,2,diesel,volkswagen,,2016-03-31 00:00:00,0,32584,2016-04-06 19:15:22
2016-03-10 10:50:26,Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._T�V/AU_NEU,privat,Angebot,5000,test,bus,2006,manuell,109,sprinter,150000,4,diesel,mercedes_benz,nein,2016-03-10 00:00:00,0,26382,2016-03-12 14:45:39
2016-03-11 23:42:53,Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach,privat,Angebot,20300,test,limousine,2010,automatik,204,e_klasse,80000,12,diesel,mercedes_benz,nein,2016-03-11 00:00:00,0,51491,2016-04-03 01:26:23
2016-03-17 18:52:56,Opel_Astra_F_Cabrio,privat,Angebot,150,control,,2016,manuell,75,astra,150000,3,benzin,opel,ja,2016-03-17 00:00:00,0,78315,2016-04-05 03:45:22
2016-04-01 22:39:35,muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen,privat,Angebot,250,test,kombi,2000,manuell,155,156,150000,0,benzin,alfa_romeo,ja,2016-04-01 00:00:00,0,08396,2016-04-05 20:18:14
2016-04-03 12:56:45,Bastler_Fahrzeug_mit_Rest_Tuev,privat,Angebot,350,control,kleinwagen,1997,manuell,54,,150000,3,,fiat,ja,2016-04-03 00:00:00,0,45665,2016-04-05 11:47:13
2016-03-09 21:46:09,Ford_Escort_CLX,privat,Angebot,600,test,limousine,1994,manuell,75,escort,100000,6,benzin,ford,ja,2016-03-09 00:00:00,0,37359,2016-04-05 23:44:25
2016-03-23 18:59:37,Mercedes_Benz_C_220_T_CDI_Avantgarde,privat,Angebot,3300,test,kombi,2005,manuell,150,c_klasse,150000,9,diesel,mercedes_benz,ja,2016-03-23 00:00:00,0,29221,2016-03-23 18:59:37
2016-03-12 19:46:54,SUBARU_FORESTER,privat,Angebot,1600,test,kombi,1997,automatik,122,forester,150000,10,benzin,subaru,nein,2016-03-12 00:00:00,0,87497,2016-03-15 06:46:18
2016-03-29 14:58:15,Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl,privat,Angebot,8000,test,suv,2005,manuell,185,xc_reihe,150000,8,diesel,volvo,,2016-03-29 00:00:00,0,96472,2016-04-03 23:18:17
2016-03-13 19:52:34,Mitsubishi_L_400,privat,Angebot,1800,control,bus,2001,manuell,87,andere,150000,7,diesel,mitsubishi,nein,2016-03-13 00:00:00,0,24116,2016-03-17 13:47:41
2016-03-08 13:49:57,Fiesta_Titanium_1.25,privat,Angebot,6800,control,kleinwagen,2009,manuell,82,fiesta,60000,12,benzin,ford,nein,2016-03-08 00:00:00,0,51065,2016-04-05 19:18:01
2016-03-07 17:38:57,Renault_Scenic,privat,Angebot,2990,test,bus,2004,manuell,113,scenic,150000,12,benzin,renault,nein,2016-03-07 00:00:00,0,41836,2016-03-09 06:15:31
2016-03-28 09:37:01,MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1�,privat,Angebot,1,control,limousine,1995,manuell,113,e_klasse,150000,4,diesel,mercedes_benz,nein,2016-03-28 00:00:00,0,40589,2016-04-06 12:15:54
2016-03-23 11:53:21,A4_Diesel_Leder_Top___NAVI,privat,Angebot,2400,test,limousine,2003,manuell,0,a4,150000,9,diesel,audi,,2016-03-23 00:00:00,0,40210,2016-03-23 11:53:21
2016-04-02 23:25:25,Senator_A2__3_0E__180PS__CD_Ausstattung.,privat,Angebot,1222,control,limousine,1984,automatik,180,andere,150000,3,benzin,opel,,2016-04-02 00:00:00,0,57290,2016-04-06 14:44:57
2016-03-16 07:56:19,FORD_KA___T�V_ABGELAUFEN,privat,Angebot,250,control,,2000,,60,ka,150000,0,,ford,,2016-03-16 00:00:00,0,51427,2016-03-21 09:47:08
2016-03-10 11:44:54,Audi_A1_1.2_TFSI_S_Line,privat,Angebot,14500,test,kleinwagen,2013,manuell,86,a1,60000,4,benzin,audi,nein,2016-03-10 00:00:00,0,31582,2016-04-07 01:15:35
2016-03-28 16:37:43,unfall_Opel_insignia_voll_Ausstattung__T�V_neu__ideal_fuer_Bastler,privat,Angebot,8390,test,,2009,,0,insignia,150000,0,,opel,,2016-03-28 00:00:00,0,29221,2016-03-30 07:44:59
2016-03-25 18:44:10,Volkswagen_Passat_1.9_TDI,privat,Angebot,3850,test,limousine,2003,manuell,131,passat,150000,5,diesel,volkswagen,nein,2016-03-25 00:00:00,0,30459,2016-04-07 00:16:18
2016-03-31 10:53:10,BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!,privat,Angebot,23490,control,limousine,2013,automatik,143,3er,40000,6,diesel,bmw,nein,2016-03-31 00:00:00,0,49356,2016-04-06 03:44:40
2016-03-26 15:38:12,VW_t5_kastenwagen,privat,Angebot,6450,test,bus,2008,manuell,84,transporter,150000,12,,volkswagen,nein,2016-03-26 00:00:00,0,44623,2016-04-06 03:17:37
2016-04-01 12:45:41,Mercedes_A_Klasse____Top_Zustand___T�V/AU___neu_!_Halbautomatik,privat,Angebot,1700,test,kleinwagen,1999,automatik,102,a_klasse,125000,11,benzin,mercedes_benz,nein,2016-04-01 00:00:00,0,12305,2016-04-01 12:45:41
2016-03-11 19:00:25,OPEL_COMBO_2008__T�V_Neu_bis_02.2018__DIESEL___LKW_ZULLASUNG,privat,Angebot,4290,test,bus,2008,manuell,0,combo,150000,2,diesel,opel,nein,2016-03-11 00:00:00,0,23568,2016-04-05 22:45:32
2016-03-28 00:56:46,Ford_Focus_Turnier_1.6_TDCi_DPF,privat,Angebot,1500,control,kombi,2006,manuell,109,focus,150000,10,diesel,ford,nein,2016-03-27 00:00:00,0,74223,2016-04-02 11:47:00
2016-03-15 17:41:31,Audi_A4_B5_1_6_Liter,privat,Angebot,499,control,limousine,1995,manuell,101,a4,150000,5,benzin,audi,,2016-03-15 00:00:00,0,85414,2016-03-22 20:48:22
2016-03-16 16:44:10,Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik,privat,Angebot,22999,control,coupe,2012,automatik,303,andere,50000,4,benzin,hyundai,nein,2016-03-16 00:00:00,0,88167,2016-04-06 20:18:22
2016-04-01 09:54:39,Audi_a4_2.5_TDI_Tausch_moeglich,privat,Angebot,6500,test,limousine,2004,manuell,163,a4,150000,4,diesel,audi,,2016-04-01 00:00:00,0,97450,2016-04-01 09:54:39
2016-03-26 07:36:20,verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift,privat,Angebot,900,test,kombi,1999,manuell,125,c_klasse,150000,7,diesel,mercedes_benz,nein,2016-03-26 00:00:00,0,37130,2016-03-29 11:44:47
2016-03-21 10:47:53,BMW_316_automatikgetriebe_Klimaanlage,privat,Angebot,650,test,limousine,1997,automatik,102,3er,150000,8,benzin,bmw,,2016-03-21 00:00:00,0,13357,2016-03-22 14:49:21
2016-03-20 12:59:39,Ford_Escort_Cabrio,privat,Angebot,300,test,cabrio,1992,manuell,105,escort,150000,0,,ford,ja,2016-03-20 00:00:00,0,88515,2016-04-06 13:15:58
2016-04-02 12:54:14,Audi_TT_Coupe_1.8_T_quattro,privat,Angebot,3399,test,coupe,1999,manuell,224,tt,150000,9,benzin,audi,ja,2016-04-02 00:00:00,0,61276,2016-04-05 19:44:33
2016-03-23 10:59:51,Volkswagen_Passat_Variant_1.6_Kombi_mit_T�V_und_AHK,privat,Angebot,1300,control,kombi,1997,manuell,101,passat,150000,10,benzin,volkswagen,nein,2016-03-23 00:00:00,0,04277,2016-03-29 04:46:48
2016-03-16 23:25:21,Honda_Civic_EG4,privat,Angebot,900,test,,1995,manuell,90,civic,150000,3,benzin,honda,,2016-03-16 00:00:00,0,35789,2016-03-19 17:19:00
2016-03-22 17:44:26,530d_XDRIVE_235_PS,privat,Angebot,7300,control,limousine,2009,automatik,235,5er,100000,3,diesel,bmw,nein,2016-03-22 00:00:00,0,83022,2016-03-22 17:44:26
2016-03-26 15:47:58,Opel_Astra_Twin_Top_2.0_Turbo,privat,Angebot,8599,test,cabrio,2006,manuell,200,astra,125000,9,benzin,opel,nein,2016-03-26 00:00:00,0,79761,2016-04-06 04:15:35
2016-04-03 03:57:26,Opel_Corsa_T�V_bis_Ende_2016,privat,Angebot,350,test,kleinwagen,1998,,0,corsa,150000,2,benzin,opel,,2016-04-03 00:00:00,0,82110,2016-04-03 08:53:37
2016-03-19 18:40:12,Golf_IV_1.4_16V,privat,Angebot,0,test,,2017,manuell,0,golf,5000,12,benzin,volkswagen,,2016-03-19 00:00:00,0,21698,2016-04-01 08:47:05
2016-03-14 20:37:41,Audi_A6_2_5_TDi_Quattro_Avant_Automatic__Turbo__Kombi__132_KW__2_,privat,Angebot,5900,control,kombi,2005,automatik,178,a6,150000,1,diesel,audi,nein,2016-03-14 00:00:00,0,88131,2016-04-06 07:17:00
2016-03-20 18:38:02,Volkswagen_Golf_1.8_5V_Turbo,privat,Angebot,6300,test,limousine,2002,manuell,265,golf,150000,3,benzin,volkswagen,nein,2016-03-20 00:00:00,0,56759,2016-04-07 01:45:06
2016-04-04 09:50:15,Volkswagen_Corrado_1.8_G60,privat,Angebot,3500,control,coupe,1991,manuell,160,andere,150000,5,benzin,volkswagen,nein,2016-04-04 00:00:00,0,66111,2016-04-06 11:17:02
2016-03-20 18:53:27,Polo_6n_Karosse_zu_verschenken,privat,Angebot,0,test,kleinwagen,1999,,0,,5000,0,benzin,volkswagen,,2016-03-20 00:00:00,0,37520,2016-04-07 02:45:22
2016-03-09 17:47:24,BMW_320d_DPF,privat,Angebot,5950,test,limousine,2006,manuell,163,3er,150000,1,diesel,bmw,ja,2016-03-09 00:00:00,0,63526,2016-03-10 14:15:41
2016-04-03 12:45:29,Honda_Jazz_1.2_S,privat,Angebot,1699,control,kleinwagen,2003,manuell,77,jazz,150000,8,benzin,honda,nein,2016-04-03 00:00:00,0,42105,2016-04-07 14:57:35
2016-03-20 13:54:32,Volkswagen_vw_t4_Einzelstueck,privat,Angebot,4699,test,bus,1996,manuell,110,transporter,150000,8,benzin,volkswagen,nein,2016-03-20 00:00:00,0,79713,2016-03-25 13:45:30
2016-03-23 12:54:52,Motorschaden_steuerrichmen_gerissen,privat,Angebot,400,control,limousine,2000,manuell,144,omega,150000,10,,opel,ja,2016-03-23 00:00:00,0,45968,2016-04-05 12:45:13
